Pipeline	Screen	TP	FN	FN+FP	affected
AA10.4	VLCAD	38	9	0	47
test_AA10.6.NonSyn.01_filter1	3MCC	11	15	1	27
test_AA10.6.NonSyn.01_filter1	ARG	1	1	1	3
test_AA10.6.NonSyn.01_filter1	BKT	0	2	0	2
test_AA10.6.NonSyn.01_filter1	CIT	16	7	0	23
test_AA10.6.NonSyn.01_filter1	CPT I	0	1	0	1
test_AA10.6.NonSyn.01_filter1	CPT II	1	7	0	8
test_AA10.6.NonSyn.01_filter1	CTD	16	15	3	34
test_AA10.6.NonSyn.01_filter1	GA-I	20	11	0	31
test_AA10.6.NonSyn.01_filter1	GA2	4	3	0	7
test_AA10.6.NonSyn.01_filter1	HCY	5	3	2	10
test_AA10.6.NonSyn.01_filter1	HYPRO	0	2	0	2
test_AA10.6.NonSyn.01_filter1	IVA	18	13	2	33
test_AA10.6.NonSyn.01_filter1	LCHAD	2	6	1	9
test_AA10.6.NonSyn.01_filter1	MAL	1	5	0	6
test_AA10.6.NonSyn.01_filter1	MCAD	106	36	1	143
test_AA10.6.NonSyn.01_filter1	MCD	1	2	0	3
test_AA10.6.NonSyn.01_filter1	MSUD	12	9	1	22
test_AA10.6.NonSyn.01_filter1	OTC	6	3	0	9
test_AA10.6.NonSyn.01_filter1	PA/MMA	18	52	3	73
test_AA10.6.NonSyn.01_filter1	PKU	38	40	1	79
test_AA10.6.NonSyn.01_filter1	RMD	1	0	0	1
test_AA10.6.NonSyn.01_filter1	SCAD	23	37	3	63
test_AA10.6.NonSyn.01_filter1	TFP	1	2	0	3
test_AA10.6.NonSyn.01_filter1	TYRO1	3	4	0	7
test_AA10.6.NonSyn.01_filter1	VLCAD	21	18	0	39
AA10.4_filter1	3MCC	31	10	1	42
AA10.4_filter1	ARG	3	0	0	3
AA10.4_filter1	BKT	3	0	0	3
AA10.4_filter1	CIT	25	4	0	29
AA10.4_filter1	CPT I	1	0	0	1
AA10.4_filter1	CPT II	5	3	0	8
AA10.4_filter1	CTD	33	8	2	43
AA10.4_filter1	GA-I	28	4	0	32
AA10.4_filter1	GA2	9	2	0	11
AA10.4_filter1	HCY	6	3	2	11
AA10.4_filter1	HYPRO	0	2	0	2
AA10.4_filter1	IVA	30	5	1	36
AA10.4_filter1	LCHAD	9	0	0	9
AA10.4_filter1	MAL	2	4	0	6
AA10.4_filter1	MCAD	143	15	2	160
AA10.4_filter1	MCD	2	2	0	4
AA10.4_filter1	MSUD	21	3	1	25
AA10.4_filter1	OTC	12	2	0	14
AA10.4_filter1	PA/MMA	67	14	1	82
AA10.4_filter1	PKU	110	8	0	118
AA10.4_filter1	RMD	1	0	0	1
AA10.4_filter1	SCAD	40	38	2	80
AA10.4_filter1	TFP	4	0	0	4
AA10.4_filter1	TYRO1	7	0	0	7
AA10.4_filter1	VLCAD	35	9	0	44
AA10.3_filter3	3MCC	25	7	1	33
AA10.3_filter3	ARG	3	0	0	3
AA10.3_filter3	BKT	2	0	0	2
AA10.3_filter3	CIT	23	4	0	27
AA10.3_filter3	CPT I	1	0	0	1
AA10.3_filter3	CPT II	3	3	0	6
AA10.3_filter3	CTD	29	7	2	38
AA10.3_filter3	GA-I	24	4	0	28
AA10.3_filter3	GA2	8	1	0	9
AA10.3_filter3	HCY	7	1	1	9
AA10.3_filter3	HYPRO	0	2	0	2
AA10.3_filter3	IVA	21	7	1	29
AA10.3_filter3	LCHAD	7	0	0	7
AA10.3_filter3	MAL	2	4	0	6
AA10.3_filter3	MCAD	127	13	0	140
AA10.3_filter3	MCD	2	2	0	4
AA10.3_filter3	MSUD	17	3	0	20
AA10.3_filter3	OTC	8	1	0	9
AA10.3_filter3	PA/MMA	58	14	1	73
AA10.3_filter3	PKU	83	5	0	88
AA10.3_filter3	SCAD	33	32	2	67
AA10.3_filter3	TFP	4	0	0	4
AA10.3_filter3	TYRO1	6	0	0	6
AA10.3_filter3	VLCAD	33	6	0	39
test_AA10.2_filter3	3MCC	14	7	1	22
test_AA10.2_filter3	ARG	3	0	0	3
test_AA10.2_filter3	BKT	2	0	0	2
test_AA10.2_filter3	CIT	20	2	0	22
test_AA10.2_filter3	CPT I	1	0	0	1
test_AA10.2_filter3	CPT II	3	3	0	6
test_AA10.2_filter3	CTD	20	7	2	29
test_AA10.2_filter3	GA-I	23	4	0	27
test_AA10.2_filter3	GA2	6	1	0	7
test_AA10.2_filter3	HCY	6	1	1	8
test_AA10.2_filter3	HYPRO	0	2	0	2
test_AA10.2_filter3	IVA	22	4	1	27
test_AA10.2_filter3	LCHAD	7	0	0	7
test_AA10.2_filter3	MAL	2	4	0	6
test_AA10.2_filter3	MCAD	117	10	1	128
test_AA10.2_filter3	MCD	1	2	0	3
test_AA10.2_filter3	MSUD	17	1	0	18
test_AA10.2_filter3	OTC	6	0	0	6
test_AA10.2_filter3	PA/MMA	51	12	1	64
test_AA10.2_filter3	PKU	51	5	0	56
test_AA10.2_filter3	SCAD	25	25	2	52
test_AA10.2_filter3	TFP	3	0	0	3
test_AA10.2_filter3	TYRO1	6	0	0	6
test_AA10.2_filter3	VLCAD	29	6	0	35
val_AA10.6.NonSyn.01_filter2	3MCC	8	7	0	15
val_AA10.6.NonSyn.01_filter2	BKT	1	0	0	1
val_AA10.6.NonSyn.01_filter2	CIT	2	3	1	6
val_AA10.6.NonSyn.01_filter2	CTD	4	4	1	9
val_AA10.6.NonSyn.01_filter2	GA-I	1	0	0	1
val_AA10.6.NonSyn.01_filter2	GA2	3	1	0	4
val_AA10.6.NonSyn.01_filter2	HCY	0	1	0	1
val_AA10.6.NonSyn.01_filter2	IVA	1	2	0	3
val_AA10.6.NonSyn.01_filter2	MCAD	14	3	0	17
val_AA10.6.NonSyn.01_filter2	MCD	0	1	0	1
val_AA10.6.NonSyn.01_filter2	MSUD	1	1	1	3
val_AA10.6.NonSyn.01_filter2	OTC	3	2	0	5
val_AA10.6.NonSyn.01_filter2	PA/MMA	4	5	0	9
val_AA10.6.NonSyn.01_filter2	PKU	22	17	0	39
val_AA10.6.NonSyn.01_filter2	SCAD	8	9	0	17
val_AA10.6.NonSyn.01_filter2	TFP	0	1	0	1
val_AA10.6.NonSyn.01_filter2	VLCAD	2	3	0	5
AA10.6_filter1	3MCC	31	10	1	42
AA10.6_filter1	ARG	3	0	0	3
AA10.6_filter1	BKT	3	0	0	3
AA10.6_filter1	CIT	25	4	0	29
AA10.6_filter1	CPT I	1	0	0	1
AA10.6_filter1	CPT II	5	3	0	8
AA10.6_filter1	CTD	33	8	2	43
AA10.6_filter1	GA-I	28	4	0	32
AA10.6_filter1	GA2	9	2	0	11
AA10.6_filter1	HCY	6	3	2	11
AA10.6_filter1	HYPRO	0	2	0	2
AA10.6_filter1	IVA	27	8	1	36
AA10.6_filter1	LCHAD	9	0	0	9
AA10.6_filter1	MAL	2	4	0	6
AA10.6_filter1	MCAD	142	17	1	160
AA10.6_filter1	MCD	2	2	0	4
AA10.6_filter1	MSUD	19	4	2	25
AA10.6_filter1	OTC	11	3	0	14
AA10.6_filter1	PA/MMA	65	16	1	82
AA10.6_filter1	PKU	110	8	0	118
AA10.6_filter1	RMD	1	0	0	1
AA10.6_filter1	SCAD	40	38	2	80
AA10.6_filter1	TFP	4	0	0	4
AA10.6_filter1	TYRO1	7	0	0	7
AA10.6_filter1	VLCAD	35	9	0	44
val_AA10.1_batch1	3MCC	14	1	0	15
val_AA10.1_batch1	BKT	1	0	0	1
val_AA10.1_batch1	CIT	5	2	0	7
val_AA10.1_batch1	CTD	9	0	0	9
val_AA10.1_batch1	GA-I	1	0	0	1
val_AA10.1_batch1	GA2	3	1	0	4
val_AA10.1_batch1	HCY	1	0	0	1
val_AA10.1_batch1	IVA	3	0	0	3
val_AA10.1_batch1	MCAD	16	1	0	17
val_AA10.1_batch1	MCD	1	0	0	1
val_AA10.1_batch1	MSUD	2	1	0	3
val_AA10.1_batch1	OTC	4	1	0	5
val_AA10.1_batch1	PA/MMA	9	0	0	9
val_AA10.1_batch1	PKU	39	0	0	39
val_AA10.1_batch1	SCAD	9	8	0	17
val_AA10.1_batch1	TFP	1	0	0	1
val_AA10.1_batch1	VLCAD	5	0	0	5
test_AA10.8_filter2	3MCC	6	20	0	26
test_AA10.8_filter2	ARG	1	2	0	3
test_AA10.8_filter2	BKT	0	2	0	2
test_AA10.8_filter2	CIT	11	11	0	22
test_AA10.8_filter2	CPT I	1	0	0	1
test_AA10.8_filter2	CPT II	3	5	0	8
test_AA10.8_filter2	CTD	15	17	1	33
test_AA10.8_filter2	GA-I	16	14	0	30
test_AA10.8_filter2	GA2	3	4	0	7
test_AA10.8_filter2	HCY	2	6	1	9
test_AA10.8_filter2	HYPRO	0	2	0	2
test_AA10.8_filter2	IVA	12	18	1	31
test_AA10.8_filter2	LCHAD	5	4	0	9
test_AA10.8_filter2	MAL	1	5	0	6
test_AA10.8_filter2	MCAD	74	64	0	138
test_AA10.8_filter2	MCD	1	2	0	3
test_AA10.8_filter2	MSUD	8	14	0	22
test_AA10.8_filter2	OTC	7	2	0	9
test_AA10.8_filter2	PA/MMA	45	25	0	70
test_AA10.8_filter2	PKU	68	8	0	76
test_AA10.8_filter2	RMD	1	0	0	1
test_AA10.8_filter2	SCAD	5	55	0	60
test_AA10.8_filter2	TFP	1	2	0	3
test_AA10.8_filter2	TYRO1	5	1	0	6
test_AA10.8_filter2	VLCAD	18	18	0	36
val_AA10.6.NonSyn.02_filter4	3MCC	7	4	0	11
val_AA10.6.NonSyn.02_filter4	CIT	2	2	1	5
val_AA10.6.NonSyn.02_filter4	CTD	4	4	1	9
val_AA10.6.NonSyn.02_filter4	GA-I	1	0	0	1
val_AA10.6.NonSyn.02_filter4	GA2	2	0	0	2
val_AA10.6.NonSyn.02_filter4	HCY	0	1	0	1
val_AA10.6.NonSyn.02_filter4	IVA	0	1	1	2
val_AA10.6.NonSyn.02_filter4	MCAD	10	2	0	12
val_AA10.6.NonSyn.02_filter4	MCD	0	1	0	1
val_AA10.6.NonSyn.02_filter4	MSUD	1	1	0	2
val_AA10.6.NonSyn.02_filter4	OTC	2	1	0	3
val_AA10.6.NonSyn.02_filter4	PA/MMA	4	5	0	9
val_AA10.6.NonSyn.02_filter4	PKU	17	15	0	32
val_AA10.6.NonSyn.02_filter4	SCAD	7	8	0	15
val_AA10.6.NonSyn.02_filter4	TFP	0	1	0	1
val_AA10.6.NonSyn.02_filter4	VLCAD	2	2	0	4
AA10.8_filter4	3MCC	6	18	0	24
AA10.8_filter4	ARG	0	1	0	1
AA10.8_filter4	BKT	0	2	0	2
AA10.8_filter4	CIT	11	8	0	19
AA10.8_filter4	CPT II	2	4	0	6
AA10.8_filter4	CTD	16	16	1	33
AA10.8_filter4	GA-I	12	12	0	24
AA10.8_filter4	GA2	4	3	0	7
AA10.8_filter4	HCY	2	5	1	8
AA10.8_filter4	HYPRO	0	1	0	1
AA10.8_filter4	IVA	7	14	1	22
AA10.8_filter4	LCHAD	3	3	0	6
AA10.8_filter4	MAL	1	2	0	3
AA10.8_filter4	MCAD	56	53	0	109
AA10.8_filter4	MCD	1	3	0	4
AA10.8_filter4	MSUD	4	8	0	12
AA10.8_filter4	OTC	6	2	0	8
AA10.8_filter4	PA/MMA	36	25	0	61
AA10.8_filter4	PKU	48	9	0	57
AA10.8_filter4	SCAD	4	42	0	46
AA10.8_filter4	TFP	1	3	0	4
AA10.8_filter4	TYRO1	5	1	0	6
AA10.8_filter4	VLCAD	16	15	0	31
test_AA10.4_batch2	3MCC	6	6	1	13
test_AA10.4_batch2	ARG	2	0	0	2
test_AA10.4_batch2	CIT	7	2	0	9
test_AA10.4_batch2	CPT I	1	0	0	1
test_AA10.4_batch2	CPT II	0	1	0	1
test_AA10.4_batch2	CTD	7	1	0	8
test_AA10.4_batch2	GA-I	8	0	0	8
test_AA10.4_batch2	GA2	1	1	0	2
test_AA10.4_batch2	HCY	1	0	0	1
test_AA10.4_batch2	IVA	13	0	0	13
test_AA10.4_batch2	LCHAD	2	0	0	2
test_AA10.4_batch2	MAL	0	1	0	1
test_AA10.4_batch2	MCAD	39	1	0	40
test_AA10.4_batch2	MSUD	3	0	0	3
test_AA10.4_batch2	OTC	5	2	0	7
test_AA10.4_batch2	PA/MMA	13	1	0	14
test_AA10.4_batch2	PKU	59	2	0	61
test_AA10.4_batch2	RMD	3	0	0	3
test_AA10.4_batch2	SCAD	10	21	0	31
test_AA10.4_batch2	TFP	1	0	0	1
test_AA10.4_batch2	TYRO1	1	0	0	1
test_AA10.4_batch2	VLCAD	5	0	0	5
AA10.6_batch3	3MCC	13	4	0	17
AA10.6_batch3	ARG	2	0	0	2
AA10.6_batch3	BKT	2	0	0	2
AA10.6_batch3	CIT	16	1	0	17
AA10.6_batch3	CPT II	5	2	0	7
AA10.6_batch3	CTD	19	9	2	30
AA10.6_batch3	GA-I	22	4	1	27
AA10.6_batch3	GA2	5	1	0	6
AA10.6_batch3	HCY	5	3	2	10
AA10.6_batch3	HYPRO	0	3	0	3
AA10.6_batch3	IVA	17	6	1	24
AA10.6_batch3	LCHAD	7	0	0	7
AA10.6_batch3	MAL	2	3	0	5
AA10.6_batch3	MCAD	101	15	1	117
AA10.6_batch3	MCD	1	3	0	4
AA10.6_batch3	MSUD	15	3	1	19
AA10.6_batch3	OTC	4	0	0	4
AA10.6_batch3	PA/MMA	51	15	1	67
AA10.6_batch3	PKU	25	6	0	31
AA10.6_batch3	SCAD	21	13	2	36
AA10.6_batch3	TFP	2	0	0	2
AA10.6_batch3	TYRO1	6	0	0	6
AA10.6_batch3	VLCAD	29	8	0	37
AA10.4_batch1	3MCC	14	1	0	15
AA10.4_batch1	BKT	1	0	0	1
AA10.4_batch1	CIT	5	2	0	7
AA10.4_batch1	CTD	9	0	0	9
AA10.4_batch1	GA-I	1	0	0	1
AA10.4_batch1	GA2	3	1	0	4
AA10.4_batch1	HCY	0	1	0	1
AA10.4_batch1	IVA	3	0	0	3
AA10.4_batch1	MCAD	16	1	0	17
AA10.4_batch1	MCD	1	0	0	1
AA10.4_batch1	MSUD	1	1	1	3
AA10.4_batch1	OTC	4	1	0	5
AA10.4_batch1	PA/MMA	8	1	0	9
AA10.4_batch1	PKU	37	2	0	39
AA10.4_batch1	SCAD	9	8	0	17
AA10.4_batch1	TFP	1	0	0	1
AA10.4_batch1	VLCAD	4	1	0	5
val_AA10.4_filter1	3MCC	14	1	0	15
val_AA10.4_filter1	BKT	1	0	0	1
val_AA10.4_filter1	CIT	4	2	0	6
val_AA10.4_filter1	CTD	9	0	0	9
val_AA10.4_filter1	GA-I	1	0	0	1
val_AA10.4_filter1	GA2	3	1	0	4
val_AA10.4_filter1	HCY	0	1	0	1
val_AA10.4_filter1	IVA	3	0	0	3
val_AA10.4_filter1	MCAD	16	1	0	17
val_AA10.4_filter1	MCD	1	0	0	1
val_AA10.4_filter1	MSUD	1	1	1	3
val_AA10.4_filter1	OTC	4	1	0	5
val_AA10.4_filter1	PA/MMA	8	1	0	9
val_AA10.4_filter1	PKU	37	2	0	39
val_AA10.4_filter1	SCAD	9	8	0	17
val_AA10.4_filter1	TFP	1	0	0	1
val_AA10.4_filter1	VLCAD	4	1	0	5
test_AA10.4_filter1	3MCC	17	9	1	27
test_AA10.4_filter1	ARG	3	0	0	3
test_AA10.4_filter1	BKT	2	0	0	2
test_AA10.4_filter1	CIT	21	2	0	23
test_AA10.4_filter1	CPT I	1	0	0	1
test_AA10.4_filter1	CPT II	5	3	0	8
test_AA10.4_filter1	CTD	24	8	2	34
test_AA10.4_filter1	GA-I	27	4	0	31
test_AA10.4_filter1	GA2	6	1	0	7
test_AA10.4_filter1	HCY	6	2	2	10
test_AA10.4_filter1	HYPRO	0	2	0	2
test_AA10.4_filter1	IVA	27	5	1	33
test_AA10.4_filter1	LCHAD	9	0	0	9
test_AA10.4_filter1	MAL	2	4	0	6
test_AA10.4_filter1	MCAD	127	14	2	143
test_AA10.4_filter1	MCD	1	2	0	3
test_AA10.4_filter1	MSUD	20	2	0	22
test_AA10.4_filter1	OTC	8	1	0	9
test_AA10.4_filter1	PA/MMA	59	13	1	73
test_AA10.4_filter1	PKU	73	6	0	79
test_AA10.4_filter1	RMD	1	0	0	1
test_AA10.4_filter1	SCAD	31	30	2	63
test_AA10.4_filter1	TFP	3	0	0	3
test_AA10.4_filter1	TYRO1	7	0	0	7
test_AA10.4_filter1	VLCAD	31	8	0	39
AA10.1	3MCC	33	11	1	45
AA10.1	ARG	4	0	0	4
AA10.1	BKT	3	0	0	3
AA10.1	CIT	28	5	0	33
AA10.1	CPT I	1	0	0	1
AA10.1	CPT II	5	3	0	8
AA10.1	CTD	36	9	2	47
AA10.1	GA-I	31	4	1	36
AA10.1	GA2	9	3	0	12
AA10.1	HCY	9	2	1	12
AA10.1	HYPRO	0	3	0	3
AA10.1	IVA	34	5	1	40
AA10.1	LCHAD	9	0	0	9
AA10.1	MAL	2	4	0	6
AA10.1	MCAD	162	11	1	174
AA10.1	MCD	2	3	0	5
AA10.1	MSUD	21	4	0	25
AA10.1	OTC	13	3	0	16
AA10.1	PA/MMA	74	15	1	90
AA10.1	PKU	123	8	0	131
AA10.1	RMD	3	0	0	3
AA10.1	SCAD	40	41	3	84
AA10.1	TFP	4	0	0	4
AA10.1	TYRO1	7	0	0	7
AA10.1	VLCAD	41	6	0	47
val_AA10.5_filter2	3MCC	3	12	0	15
val_AA10.5_filter2	BKT	0	1	0	1
val_AA10.5_filter2	CIT	3	3	0	6
val_AA10.5_filter2	CTD	7	2	0	9
val_AA10.5_filter2	GA-I	0	1	0	1
val_AA10.5_filter2	GA2	2	2	0	4
val_AA10.5_filter2	HCY	1	0	0	1
val_AA10.5_filter2	IVA	3	0	0	3
val_AA10.5_filter2	MCAD	5	12	0	17
val_AA10.5_filter2	MCD	0	1	0	1
val_AA10.5_filter2	MSUD	1	2	0	3
val_AA10.5_filter2	OTC	2	3	0	5
val_AA10.5_filter2	PA/MMA	7	2	0	9
val_AA10.5_filter2	PKU	37	2	0	39
val_AA10.5_filter2	SCAD	6	11	0	17
val_AA10.5_filter2	TFP	0	1	0	1
val_AA10.5_filter2	VLCAD	3	2	0	5
test_AA10.6_filter4	3MCC	9	4	0	13
test_AA10.6_filter4	ARG	1	0	0	1
test_AA10.6_filter4	BKT	2	0	0	2
test_AA10.6_filter4	CIT	13	1	0	14
test_AA10.6_filter4	CPT II	3	3	0	6
test_AA10.6_filter4	CTD	15	7	2	24
test_AA10.6_filter4	GA-I	20	3	0	23
test_AA10.6_filter4	GA2	5	0	0	5
test_AA10.6_filter4	HCY	4	2	1	7
test_AA10.6_filter4	HYPRO	0	1	0	1
test_AA10.6_filter4	IVA	14	5	1	20
test_AA10.6_filter4	LCHAD	6	0	0	6
test_AA10.6_filter4	MAL	2	1	0	3
test_AA10.6_filter4	MCAD	83	13	1	97
test_AA10.6_filter4	MCD	1	2	0	3
test_AA10.6_filter4	MSUD	9	1	0	10
test_AA10.6_filter4	OTC	5	0	0	5
test_AA10.6_filter4	PA/MMA	40	11	1	52
test_AA10.6_filter4	PKU	21	4	0	25
test_AA10.6_filter4	SCAD	21	9	1	31
test_AA10.6_filter4	TFP	3	0	0	3
test_AA10.6_filter4	TYRO1	6	0	0	6
test_AA10.6_filter4	VLCAD	19	8	0	27
test_AA10.6.NonSyn.02	3MCC	13	15	2	30
test_AA10.6.NonSyn.02	ARG	1	2	1	4
test_AA10.6.NonSyn.02	BKT	0	2	0	2
test_AA10.6.NonSyn.02	CIT	16	9	1	26
test_AA10.6.NonSyn.02	CPT I	0	1	0	1
test_AA10.6.NonSyn.02	CPT II	1	6	1	8
test_AA10.6.NonSyn.02	CTD	18	16	4	38
test_AA10.6.NonSyn.02	GA-I	23	11	1	35
test_AA10.6.NonSyn.02	GA2	4	4	0	8
test_AA10.6.NonSyn.02	HCY	5	4	2	11
test_AA10.6.NonSyn.02	HYPRO	0	3	0	3
test_AA10.6.NonSyn.02	IVA	22	13	2	37
test_AA10.6.NonSyn.02	LCHAD	2	6	1	9
test_AA10.6.NonSyn.02	MAL	1	5	0	6
test_AA10.6.NonSyn.02	MCAD	118	35	4	157
test_AA10.6.NonSyn.02	MCD	1	3	0	4
test_AA10.6.NonSyn.02	MSUD	12	9	1	22
test_AA10.6.NonSyn.02	OTC	7	4	0	11
test_AA10.6.NonSyn.02	PA/MMA	20	56	5	81
test_AA10.6.NonSyn.02	PKU	43	47	2	92
test_AA10.6.NonSyn.02	RMD	1	2	0	3
test_AA10.6.NonSyn.02	SCAD	24	38	5	67
test_AA10.6.NonSyn.02	TFP	1	2	0	3
test_AA10.6.NonSyn.02	TYRO1	3	4	0	7
test_AA10.6.NonSyn.02	VLCAD	23	19	0	42
val_AA10.6.NonSyn.02_filter3	3MCC	7	4	0	11
val_AA10.6.NonSyn.02_filter3	CIT	2	2	1	5
val_AA10.6.NonSyn.02_filter3	CTD	4	4	1	9
val_AA10.6.NonSyn.02_filter3	GA-I	1	0	0	1
val_AA10.6.NonSyn.02_filter3	GA2	2	0	0	2
val_AA10.6.NonSyn.02_filter3	HCY	0	1	0	1
val_AA10.6.NonSyn.02_filter3	IVA	0	1	1	2
val_AA10.6.NonSyn.02_filter3	MCAD	10	2	0	12
val_AA10.6.NonSyn.02_filter3	MCD	0	1	0	1
val_AA10.6.NonSyn.02_filter3	MSUD	1	1	0	2
val_AA10.6.NonSyn.02_filter3	OTC	2	1	0	3
val_AA10.6.NonSyn.02_filter3	PA/MMA	4	5	0	9
val_AA10.6.NonSyn.02_filter3	PKU	17	15	0	32
val_AA10.6.NonSyn.02_filter3	SCAD	7	8	0	15
val_AA10.6.NonSyn.02_filter3	TFP	0	1	0	1
val_AA10.6.NonSyn.02_filter3	VLCAD	2	2	0	4
test_AA10.8	3MCC	8	22	0	30
test_AA10.8	ARG	2	2	0	4
test_AA10.8	BKT	0	2	0	2
test_AA10.8	CIT	14	12	0	26
test_AA10.8	CPT I	1	0	0	1
test_AA10.8	CPT II	3	5	0	8
test_AA10.8	CTD	15	22	1	38
test_AA10.8	GA-I	20	14	1	35
test_AA10.8	GA2	3	5	0	8
test_AA10.8	HCY	2	8	1	11
